id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30088807,iloftmalaga Estación Central IX,80225433,I Loft Malaga,,Carretera de Cadiz,36.70892,-4.43338,Entire home/apt,63,1,2,2019-07-16,0.11,218,236
30088808,iloftmalaga Estación Central VI,80225433,I Loft Malaga,,Carretera de Cadiz,36.70828,-4.43418,Entire home/apt,71,1,7,2020-03-06,0.32,218,236
30100840,"Apart. Miguel Bueno Lara, 5 min del centro históri",50355977,Cairo,,Centro,36.7292,-4.41971,Entire home/apt,89,7,2,2019-05-06,0.09,4,271
30139002,Apartamento Garsel Centro,119036319,Mari Carmen,,Centro,36.72396,-4.41984,Entire home/apt,56,1,6,2019-12-08,0.26,1,0
30141259,Apartamento Centro Málaga+Garaje Privado incluido,226466430,Rafa&Pilu,,Centro,36.7223,-4.42716,Entire home/apt,44,1,333,2020-10-25,14.98,1,0
30143082,Malaga Holidays City Center 2 bedrooms,8544512,Malaga Center Flat,,Centro,36.72144,-4.42767,Entire home/apt,55,3,2,2020-10-06,0.09,36,365
30144600,iloftmalaga Estacion Central V,80225433,I Loft Malaga,,Cruz De Humilladero,36.71022,-4.43631,Entire home/apt,71,1,1,2019-04-05,0.05,218,236
30144601,iloftmalaga Estacion Central VII,80225433,I Loft Malaga,,Cruz De Humilladero,36.71024,-4.43548,Entire home/apt,63,1,1,2019-05-27,0.06,218,236
30151172,Ático Penthouse Sunny by the center & smallparking,220191539,Jorge,,Centro,36.73433,-4.41698,Entire home/apt,100,2,34,2020-08-21,1.51,1,207
30163568,莉莉的家,59023158,Lili,,Este,36.73925,-4.3843,Shared room,26,30,0,,,1,178
30176243,Apartamento centro historico.parking incluido,185181751,Araceli,,Centro,36.72176,-4.42525,Entire home/apt,84,1,74,2020-09-04,3.97,2,60
30187909,"ESPLÉNDIDO, CONFORTABLE Y LUMINOSO APARTAMENTO!!",17686458,Daoiz Boutique Apartment,,Centro,36.72987,-4.42339,Entire home/apt,76,7,11,2019-10-21,0.48,1,154
30191159,"Estudio moderno ,zona de Pedregalejo.",135009378,Irene,,Este,36.72188,-4.38048,Entire home/apt,65,2,24,2019-09-22,1.04,3,132
30193188,MALAGA CENTRO a 15 minutos  de La Malagueta.,140786801,Fina,,Centro,36.72217,-4.43014,Entire home/apt,95,3,0,,,4,299
30194742,Mendoza Beach 14,179249847,Ovidio,,Carretera de Cadiz,36.70123,-4.43381,Entire home/apt,89,2,4,2020-02-23,0.18,8,176
30198468,♥10-Min Walk To Old Town/Fast Wifi/Very Safe Area♥,89705945,Antonio,,Centro,36.72669,-4.42854,Entire home/apt,35,1,36,2020-08-20,1.54,33,365
30217985,Apartment 200 metres away from the beach (El Palo),6954233,Alejandro,,Este,36.71917,-4.35025,Entire home/apt,43,2,46,2020-08-25,2.00,1,207
30220252,"4 dormitorios, Piscina y jardin comunitarios.",226962261,Houria,,Palma-Palmilla,36.73432,-4.43449,Entire home/apt,70,63,0,,,1,365
30228602,Sail Malaga Andalucia in style!,226537798,David,,Centro,36.71463,-4.41619,Entire home/apt,799,1,0,,,1,180
30240068,INMálaga Apartments Fresca II,79418042,INMálaga,,Centro,36.7194,-4.42042,Entire home/apt,79,2,2,2020-01-18,0.15,25,340
30242410,Apartamento cerca del aeropuerto centro playa,227110266,Manuel Gerardo,,Carretera de Cadiz,36.6971,-4.44956,Entire home/apt,28,1,143,2020-10-15,6.18,1,351
30269589,"Recently Renovated Condo in Malaga Centre by Rafleys, Sea Views",145054341,Rafleys,,Centro,36.72028,-4.4096,Entire home/apt,177,5,0,,,3,360
30279015,"Penthouse Historical Center, Malaga",17241136,Frank,,Centro,36.7231,-4.42103,Entire home/apt,76,1,4,2019-09-05,0.18,1,285
30282192,"Málaga, Town centre and beach",167550024,Francisco Javier,,Centro,36.71925,-4.40957,Entire home/apt,71,3,54,2020-08-25,2.34,1,180
30341210,Malagueta - Miradore II,2477923,Caleta Homes,,Centro,36.71722,-4.41108,Entire home/apt,106,1,11,2020-08-21,0.63,26,241
30341215,"Apartamento Centro Málaga ""PEREGRINO""",225446428,Wabitrip Com,,Centro,36.71425,-4.42645,Entire home/apt,31,2,50,2020-09-28,2.15,8,173
30347640,Fabuloso apartamento en el centro de Málaga,89812313,Fernando,,Cruz De Humilladero,36.7179,-4.43742,Entire home/apt,62,2,29,2020-08-05,1.28,18,353
30348082,Apartamento Centro histórico Málaga,227868284,Claudio & Marina,,Centro,36.72541,-4.419,Entire home/apt,34,3,62,2020-07-30,2.69,2,6
30390421,Estudio en el Centro. Picacho 5.,30522072,Juan M,,Centro,36.72448,-4.41531,Entire home/apt,47,1,6,2020-08-16,0.26,6,342
30416063,"NIce ROOM with PRIVATE BATHROOM,   Soho",228352661,Jose Manuel,,Centro,36.71539,-4.42214,Private room,25,2,72,2020-08-24,3.47,1,364
30418612,Solaga - Larios,126429738,Steffen,,Centro,36.7195,-4.42009,Entire home/apt,77,1,14,2019-12-08,0.67,56,335
30430865,Del Parque Flats Premium Maestre,152016953,"Del Parque Flats, S.L.",,Centro,36.72272,-4.42007,Entire home/apt,49,1,1,2020-02-12,0.11,35,357
30490885,Beach Escapade two Bedrooms in Pedregalejo,5890675,La Recepción,,Este,36.72165,-4.37514,Entire home/apt,37,1,19,2020-07-12,0.94,66,364
30492221,SW Puerta del Mar,133424993,Mariola,,Carretera de Cadiz,36.71017,-4.43191,Entire home/apt,80,1,16,2020-08-02,0.77,21,308
30499400,"Acogedor, sencillo y céntrico!!!",104262431,Maria,,Centro,36.72976,-4.419,Private room,15,1,113,2020-06-24,4.98,1,89
30520210,Luxury Duplex in Plaza de La Merced,5890675,La Recepción,,Centro,36.72333,-4.41924,Entire home/apt,53,1,50,2020-03-21,2.21,66,293
